PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
52500,1,162950,2,2,1,2,35,0,3439750,
999996,1,18300,2,2,2,1,47,0,416500,
47500,1,141550,2,1,1,2,46,0,1170300,
30000,1,64500,1,2,1,2,24,0,628000,
20000,2,37300,2,2,1,1,35,14500,1203925,
11500,1,130225,2,1,2,2,48,0,463500,
95000,1,156300,2,2,1,2,48,0,2526000,
14500,1,55200,2,2,1,2,24,0,698050,
77500,1,159950,2,1,1,2,35,0,1577250,
999996,1,18500,2,2,2,1,35,0,348750,
25000,1,17900,2,2,2,1,59,200000,594500,
999996,1,25000,2,2,2,1,48,0,430375,
999996,1,106725,2,1,2,2,47,0,55490,
17000,1,75700,2,2,2,1,12,0,872750,
4100,1,82150,2,1,2,2,48,0,3600,
21000,2,41775,2,1,2,2,48,0,-46550,
20000,1,100525,2,1,2,2,35,0,89225,
10500,1,69400,2,1,2,2,59,0,70550,
40000,1,212250,2,1,2,2,35,0,875100,
27000,1,73250,2,1,2,2,35,0,417500,
4750,1,59575,2,2,1,2,48,0,502600,
4200,1,48775,2,2,1,2,11,0,364750,
5750,2,140650,2,1,1,2,24,0,499600,
45000,3,118075,2,2,1,2,24,0,2139000,
82500,1,72975,2,2,1,1,12,95000,2878000,
26000,1,96150,2,2,1,2,48,0,620500,
1050,1,6250,9,9,9,9,12,0,569955,
24000,2,106175,2,2,1,2,59,0,1664500,
3000,3,20625,2,2,2,1,24,0,44501,
13000,1,48950,2,1,2,2,35,0,15400,
62500,1,114400,1,1,1,1,59,0,742950,
95000,1,757200,9,9,9,9,35,0,3840001,
33000,2,60650,2,2,1,2,24,0,1123000,
13000,1,81650,2,2,2,1,24,12500,1472950,
5000,3,19225,2,1,2,2,24,0,-3700,
35000,1,131400,2,1,2,2,35,0,647500,
550,1,101825,9,9,9,9,48,0,2200,
6250,3,21900,2,1,2,2,46,0,3900,
24000,1,44250,2,2,2,1,13,47000,702750,
10500,1,35075,2,2,2,1,12,0,658250,
77500,1,75600,2,1,2,2,24,0,107000,
5000,3,35875,2,2,2,1,59,4200,586650,
8250,1,99425,2,1,2,2,46,0,448850,
5000,1,67975,2,2,1,2,35,0,378000,
31000,1,29950,2,2,1,2,59,0,862750,
8000,1,20900,2,2,1,1,11,0,44000,
40000,2,96650,2,1,1,2,24,0,153550,
8750,1,45750,1,1,2,2,12,0,6475,
999996,3,41250,2,1,2,2,35,0,-27250,
33000,1,176450,2,2,1,2,46,0,2076000,
22000,1,119475,2,2,1,2,46,0,487900,
47500,1,126475,2,1,2,2,12,0,434450,
13000,1,37650,2,2,2,1,10,0,217501,
22000,1,38650,1,1,2,2,59,0,-8775,
15000,1,105375,2,2,1,2,24,0,1736500,
47500,1,31275,9,9,9,9,12,0,1333850,
4000,3,35450,2,2,2,1,24,9000,320350,
